company name,contact number,area,product category 1,product category 2,product category 3,company description
Gateway Sourcing,tel:+91 11 26856931,New delhi - India,Textiles,"Fabrics, man-made fibres","Fabrics, man-made fibres, by use...",Marketing & Importers of Fabrics.
Shree Krishna Garments Ind,tel:+91 11 27411968,Delhi - India,Clothes by fabric,Clothing and footwear,"Clothes, cotton...","Manufacturers & Importers of Redymade Garments, School Bags & Sleeping Bags. and Importer of Fabrics, Buttons, Garment Accessories."
Anil Industries,tel:+91 11 26372082,New delhi - India,Glass fibre reinforced plastic (GRP) products,Plastic products,"Plastic products, insulating...","Manufacturers and Exporter of Acrylic Pipe, Animal Pipe, Animal Spoons, Ash Checher, Brush, Bubbler, Dugouts, Color Changing Bongs, Filter Tips, Grinders, Glass Bongs, Glass Pipe, Glass Slide, Hammer, Metal Pipe, Sher Lock, Shisha Hookah, Wood Pipes, Stone Pipe, Key Pipe...."
Shri Bankey Behari Foods,tel:+91 11 47243192,Delhi - India,Food,"Fruit, processed",Jam...,"Manufacturers, Importers and Exporters of Jams, Pickles, Tomato Ketchup, Salt, Pepper, Chutneys and Syrups in blister pack and sachets."
T. C. Ceramics Private Limited,tel:+91 11 29214860,New delhi - India,"Glass, cement and ceramics",Ceramic roofing tiles,"Roofing tiles, ceramic...","Traders & Importers of a Wide range of Ceramics Tiles, Vitrified Tiles, Designer & Rectified Tiles, Composite Tiles, Designer Borders, Water Jet Cut Designs and Inlays."
Friends Trading Company,tel:+91 11 23937382,New delhi - India,Agriculture and forestry,"Nuts, edible",Almonds...,"Importer of Almonds, Almond Kernels, Asafetida, Pistachio in Shell, Pistachio Kernels, Apricot Kernels, Cumins Seeds, Cloves, Cassia, Nut Megs, Raisins, Raisin Blocks & Dry Fruits."
Pranar Holographics,tel:+91 11 26348904,New delhi - India,Printing and publishing,Intaglio printing,"Printing services, holograms...",Manufacturers and Importers Of Holographic Products.
Suntop Enterprises Private Limited,tel:+91 11 23547246,New delhi - India,Textiles,Canvas and duck,"Canvas, cotton","Suntop Enterprises Private Limited Is Manufacturer, Supplier, Importer & Exporter Of PVC Leather Cloth, Printed Vinyl Flooring, Cotton Canvas, Industrial Fabrics, Cotton Cloth, Canvas, Pvc Films Bags, Traveling Cases, Backpacks, School Bags, Traveling Bags, Fashion Bags, Cotton Coated Fabric, Po..."
Harpreet Graphics,tel:+91 11 45686649,New delhi - India,Paper and board,Stationery articles,Folders...,"Manufacturer & Wholesale Dealers for Computer Stationery, School Stationery, Office Stationery, Lamination, Binding, Machines & Materials, Disposables, Gift & Novelties."
Omega Marketing Private Limited,tel:+91 11 23678740,New delhi - India,Chemical products,"Chemicals for papermaking, printing and photography",Coating emulsions for paper...,"Distributor, Importer, Service & Solution Provider Of Screen Printing Such As Emulsions, Photostencil Films, Industrial Polycoated Films, Inks. Group: Gurbaksish Group Associated Companies: Gurbaksish Enterprises Atlas Nylobolt Agencies"
Ascent India,tel:+91 11 47533108,Delhi - India,Rubber tubes and flexible hoses,Rubber products,"Hoses and tubing, rubber, spiral...","Manufacturer, Trader, Importer & Exporters Of PVC & other Polymers and Rubber Hoses, Tubes, Pipes, Sleeves."
Prabha International,,Delhi - India,Coated and laminated paper and board,Paper and board,"Paper, coated, for photocopiers...","Exporters and Importers of Wide Range Photocopier Paper Products, Ceramic Colored Glazed Floor and Wall Tiles Ceramic Glazed Floor and Wall Tiles Ceramic Vitrified Tiles Ceramic Vitrified Unglazed Tiles."
Entek Instrument India Private Limited,tel:+91 11 30587734,New delhi - India,Electrical measuring and controlling instruments,Measuring and testing equipment,"Laboratory equipment, general...","Manufacturer, Supplier, Importer & Exporter Of Civil Engineering Lab Equipments & Mechanical Engineering Lab Equipments. It Includes Materials Lab Equipments, IC Engine Lab Equipments, Fluid Mechanics Lab Equipments, Machine Lab Equipments, Heat & Mass Transfer Lab Equipments, Fluid Mach..."
Kiro Refrigerants Private Limited,tel:+91 11 43565432,New delhi - India,Compressed and liquefied gases. Chemicals for refrigeration,Chemical base materials,Refrigerating gases...,"Distributor & Importer Of Refrigerant Gases Such As Leak Detectors, Sealants, Coil Cleaners, Degreaser, Kits For Acid & Moisture Detector In Compressor Oil & Refrigerant, Xaerus Compressor Lubricants, Neutronics."
Topdent,tel:+91 11 22528471,Delhi - India,"Health, medical and pharmaceutical",Dental equipment and instruments,Dental drills...,"Distributor, Dealer, Supplier, Importer & Exporter Of Dental Chairs, Orthodontics Pillers & Materials, Light Cure, Scaller Unit, Diamond Disc, Lab Carbides, Airorter Handpices, HP Mandrills."
Rolec India Private Limited,tel:+91 11 41814950,New delhi - India,Basic metal products,Non-ferrous metal castings and parts,"Die-castings, aluminium, machined...","Manufacturer,Supplier, Exporters & Importer Of Aluminium Die- Cast, Junctions Boxes, Electronics Machines & Suspension Systems. Associated Companies: Rose of Vero Beach Incorporation, Florida"
IDS Denmed Private Limited,tel:+91 11 47350000,New delhi - India,Dental laboratory equipment and supplies,"Health, medical and pharmaceutical",Dental equipment and instruments...,"Distributor, Supplier & Importers Of Dental Materials & Equipments Like Dental Chair, Implant Motor, Light Cures, CBCT, Apex Locator, Lasers."
Magsons Printer Depot,tel:+91 11 25116722,New delhi - India,Textile printing machinery and equipment,"Textile, clothing, leather and shoemaking machinery and equipment",Information technology (IT) and Internet...,"Supplier, Service Provider, Importer & Exporter Of Indoor Digital Printer, Nano Jet Ink Jet Printer, Allwinn Konica Printer, Ink Jet Machine, Mild Solvent Printers, Print Heads, Printers, Textile Printer Machine, Non Uv Printers, Uv Printers, Uv Flatbed Printers, Cnc Routers, Solvent Printers, P..."
Vikas Combustion Systems Private Limited,tel:+91 11 27102449,Delhi - India,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Boilers,"Boilers, steel...","Importer & Supplier Of High Efficiency Oil & Gas Fired Burners & Steel Boilers, Air Heater & Hot Water Boilers."
Hindustan Refrigeration Stores,tel:+91 11 23271898,New delhi - India,Refrigerators,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment","Refrigerators, commercial use...","Manufacturer, Supplier & Importer Of Refrigeration & Air Conditioning Machinery, Confectionery & Meat Displays, Refrigerated Cabinets, Milk Storages, Mortuaries & Menthol Plants, Process Chillers, Cold Storages, Polaris Cold Rooms, Dehumidifiers, Air Curtains, Superlon Insulation Pip..."
Crown Dentals,tel:+91 11 23278315,Delhi - India,Paper and board,"Photographic paper, board, film, cloth and plates. Diazo/dyeline paper","X-ray plates, quick developing, dental...","Importer & Supplier Of Micrometers, Micro Applicator, Mixing Tips, Dental Curing Light, Dental Chair, Air Motor, Light Cure, X-Ray, Hand Pieces."
MTE India Private Limited,tel:+91 11 41027957,New delhi - India,Gas analysing equipment,Measuring and testing equipment,"Analysers, dissolved gases...","Supplier Of Meter Test Equipment Both Portable & Stationary, Online Transformer Monitoring System. Group: MTE Group Group Of Companies: EMH Energie-Messtechnik GmbH MTE Meter test Equipment Limited EMH Energie-Messtechnik Company Limited"
Narula Overseas Industries Private Limited,tel:+91 11 45679399,New delhi - India,"Baby care articles, plastic",Plastic products,"Feeding bottles, plastic, for babies...","Manufacturer, Supplier, Importer & Exporter Of Baby Teats, Baby Bottles & Baby Pacifiers Like Round Plain Handle Bottle, Decorated Handle Bottle, Curve Handle Bottle, Embossed Bottle & Nipples & Accessories Like Top Cap With Hood, Sipper, Tongue Scrapers, Body Scrubbers...."
Advantage Computers India Private Limited,tel:+91 11 45587070,New delhi - India,Monitors/display screens,Information technology (IT) and Internet,"Video monitors, liquid crystal display (LCD)...","Manufacturer, Supplier, Distributor & Importer of Computer Components, Accessories, Computer Parts, Electronic Components & Equipments Such As Tablet PC, Mobiles, Smart Phones, Power Banks, 3G Data Dongles, Keyboards, Mice, Power Supplies, Multimedia Speakers & Display Products Like LCD..."
Manisha International Private Limited,tel:+91 11 29536601,New delhi - India,"Oils, edible",Food,"Oil, olive, virgin...","Distributor & Importer Of Baby Products Like Farlin, Fargata, Colavita Olive Oil, Colavita Pasta."
Hampri Impex Private Limited,tel:+91 11 41421142,New delhi - India,Machinery and equipment for metalworking,Metal grinding machines,"Grinding machines, jig, metalworking...","Supplier, Distributor & Importer Of Die Cutting, Blades, Punches, Butterflies, Perforation Blades & Dies, Jig Saw Machine, Rule Bending Machine."
Solutions Communications,,New delhi - India,Security equipment,"Access control, security and surveillance systems","Security and surveillance systems, closed circuit television (CCTV)","Supplier, Distributor, Service Provider, Importer & Exporter Of Telecommunication, Office Automation & Security Surveillance (CCTV) Products."
Shri Bhawani Textiles,tel:+91 11 25082329,New delhi - India,"Textile, clothing, leather and shoemaking machinery and equipment",Machinery and equipment for the clothing industry NES,"Quilting machines, clothing industry...","Manufacturer, Supplier, Importer & Exporter Of Polyfill Roll, Thermobond Ready Roll, Polyfill Fibre Pad, Polyfill Fibre Sheet, Polyfill Synthetic Fibre, Polyfill Fibre Sheet, Polyfill Fibre Raw Material, Polyfill Chemical Roll, Polyfill Synthetic Fibre, Quilting Machine, Vaccum Machine, Cushion..."
Vgotech India,tel:+91 11 65166770,New delhi - India,Testing equipment for the textile industry,Measuring and testing equipment,Dynamometers for yarns and fabrics...,"Manufacturer, Supplier, Exporter & Importer Of Color Fastness Testing Equipments, Lab Dyeing & Matching Testing Equipments, Physical Testing Equipments, Yarn Testing Equipments, Gsm Testing Equipments, Process Monitoring Equipments, Leather & Scientific Testing Machinery, Imported Testin..."
Shri Vinayak Packaging Machines Private Limited,tel:+91 11 25775242,New delhi - India,"Packaging machinery for solid, granular and fragmented materials","Packaging machinery, equipment and services",Carton filling and closing machines for liquid dairy products...,"Manufacturer, Supplier, Importer & Exporter Of Packaging Machines. It Includes Carton Sealer, Strapping Machine, Sealing Machine, Shrink Packaging Machine, Vacuum Packaging Machine, Stretch Wrapping Machine, Batch Coder, Conveyor System, Material Handling Equipments, Filling Machine, Cup & M..."
Rudrani Hospitality Solutions Private Limited,tel:+91 11 65366663,New delhi - India,Hygiene and cleaning,"Washing machines and equipment, domestic","Dishwashers, electric, domestic...","Manufacturer, Supplier, Importer & Exporter Of High End Commercial Kitchen And Laundry Equipments. It Includes Pizza Oven, Combi Oven, Warewashing, Display Cabinets, Serving Solutions, Dishwashers, Refrigeration, Hot Kitchen, Food Preparation, Ice Maker, Kitchen Fabrication, Laundry, Minibar, Ba..."
Sigma Storage Systems,,New delhi - India,Plastic products for the electrical and electronics industries,Plastic products,"Cable trays, plastic...","Manufacturer, Supplier, Importer & Exporter Of Mobile Racks, Pallet Racks, Ladder Type Cable Trays, Skeleton Racks, Display Racks, Storage Cabinets, Departmental Racks, Pressed Doors & Window Frames, Heavy Duty Racks, Steel Display Product, Mezzanine Flooring, Mobile Racks, Cable Trays, Slot..."
Packing & Coding Solutions,tel:+91 11 41834243,New delhi - India,Components and accessories for conveyors and conveyor belts,Handling and storage plant and equipment,Conveyor belt joining machines...,"Supplier, Importer & Exporter Of f Coding and Marking Inks, Inkjet Coder Parts, Carton Coders, Conveyor Belt Machine, Rewinding Machine, Carton Sealing Machine, Industrial Inkjet Printers, Thermal Transfer Ribbons, Laser Marking Machine."
Hcr Info Consumables Private Limited,tel:+91 11 29990479,New delhi - India,Printing equipment. Office and shop equipment,Machinery and equipment for printing presses,"Doctor blades, printing machinery and presses...","Manufacturer, Distributor, Supplier, Importer & Exporter Of Primary Charge Roller, Magnetic Rollers, OPC Drum, Toner Cartridge, Blades, Empty Cartridge, Printer Ribbons, Ink."
Technology Next,tel:+91 11 46542053,New delhi - India,Electrical equipment. Nuclear equipment,Electric connectors,Electric power supplies...,"Supplier, Dealer, Service Provider & Importer Of Peripherals Products, Networking Products & Laptop Accessories. It Includes Computer Headphones, Megapixel Webcam, Micro Speakers, Usb Computer Cables, Optical Computer Mouse, Hard Disk Casing USB, Fans SMPS, Coaxial Cable, Crimping Tool, Lapt..."
Cultus Trading LLP,,Delhi - India,Electrical equipment. Nuclear equipment,Electric conductors,Machinery and equipment for electrical goods production...,"Importer & Distributors Of Conductors, Instrument Sensing, Measuring, Electrical & Electronic Components, Lighting & Lighting Products, Power Electronics. Associated Companies: ESCOLTRIX LLC, USA"
Vijex Vyapaar Private Limited,tel:+91 11 23257664,New delhi - India,Chemical products,"Chemicals for papermaking, printing and photography",Toners for photocopiers and laser printers...,"Distributor & Importer Of Printer Ink, Color Toner, Laser Toner, Toner Powder, Copier & Laser Toner."
Arihant Electricals,tel:+91 11 47637300,New delhi - India,Electric relays,Electrical equipment. Nuclear equipment,Electric connectors...,"Dealers, Exporters and Importers of Active Components, IGBT Drivers, Protection, Passive Components, Fans and Blowers, Power Capacitors, Connectors and Relays. Group: Arihant Group Associated Companies: Arihant Elsys Private Limited Arihant Systems and Electricals Private Limited Mahadushi Engineeri..."
Paramount Communications Limited,tel:+91 11 45618800,New delhi - India,"Hardware, ironmongery, cutlery and tools","Cables, ropes, bands and tapes, metal","Cords and braids, metal...","Manufacturer, Exporters & Importers of Cables for Power and Industrial Sector Including High Voltage and Low Voltage XLPE/PVC Insulated Power Cables Aerial Bunched Cables, Control Cables, Signal (Instrumentation) Cables, Thermocouple Compensating Cables, Railway Signaling Cables, Railway Axle Co..."
Rallison Electricals Private Limited,tel:+91 11 28112644,New delhi - India,"Hardware, ironmongery, cutlery and tools","Cables, ropes, bands and tapes, metal","Cables, copper or brass...","Manufacturer, Exporters & Importers of Wires and Cables, LT-XLPE Power/Control Cables, LT-PVC Power/Control Cables, Mining Cables, Submersible Cables, FRLS Wires, PVC Flexible Wires, House Wires, Telephone Cables, Special Type of Cables, LT-XLPE/PVC FRLS Power & Control Cables, Airfield Ligh..."
Bombardier Transporation India Limited,tel:+91 11 48497300,New delhi - India,Rails and railway sleepers for railways,Civil engineering and building machinery and equipment,"Rails, rolled steel, railway and tram...","Exporters & Importers of Railway Locomotive Component, Planes, Signaling System. Associated Companies: Bombardier Incorporation Business Aircraft Commercial Aircraft Aerostructures & Engineering Services"
Advance Panels & Switchgears Private Limited,tel:+91 11 27787322,New delhi - India,Electrical equipment. Nuclear equipment,Circuit breakers,"Circuit breakers, oil break...","Manufacturer and Importers of L.T. Panels, MCC, PCC, PLC Based Panels, C.T., Motor Starter, Switchgears & Meters and also Importers of Switchgears."
Premier It Zone,tel:+91 11 42418370,Delhi - India,Information technology (IT) hosting services,Information technology (IT) and Internet,Web hosting services...,"Service Provider of Website Development, Web Designing, Graphics Design, Search Engine Optimization, Content Writing, Web Hosting Services, Web Maintenance, Internet Marketing."
Audiobuy India,,Delhi - India,Sports and leisure equipment,"Musical instruments, keyboard","Keyboards, electronic (musical instruments)...",Online Retailer of Musical Instruments And Recording Equipments such as Guitars & Electric Guitars.
Buckbeak India Private Limited,tel:+91 11 65009005,Delhi - India,Financial and insurance services,Credit reporting and debt recovery/collection,Debt recovery/collection services...,"Service Provider of Debt Collection & Recovery, Payment Processing & Validation, Credit Risk Management."
Santoni Electric Company Private Limited,tel:+91 11 26276478,New delhi - India,Hygiene and cleaning,Sweepers and floor scrubber driers,"Floor sweepers, electric, domestic...","Manufacturer, Exporters & Importers of Cleaning Machines, Cleaning Tools, Pollution Control, Pneumatic Conveying such as Vacuum Cleaners, Single / Multi Disc Floor Machines, Combined Scrubber Driers, Floor Sweepers, Injection / Extraction Machines, Heavy Duty Industrial Vacuum Cleaners, High Pre..."
Padmini Impex Private Limited,tel:+91 11 28314780,Delhi - India,"Hardware, ironmongery, cutlery and tools","Kitchen articles and tableware, metal","Kitchenware, aluminium...","Manufacturer, Supplier, Importer & Exporter Of Electric Tandoor, Sandwich Toasters, Padmini Air Fryer, Padmini Gas Hobs, Electric Chimney, Stainless Steel L.P.G Gas Stoves, Glass L.P.G Gas Stoves, Induction Base Cookware, Electric Rice Cooker, Hand Blender, PTC Heaters, Aluminium Pressure Cooker..."
Khaleej Fashion Trading,,New delhi - India,Textiles,"Wadding and their products, by use",Wadding for clothing...,"Supplier, Exporter & Importer of Readymade Garments, Ladies & Mens Garments."
Himalaya Polytech Private Limited,tel:+91 11 22578100,Delhi - India,"Bottles and packaging tubes, plastic",Plastic products,"Bottles, polyethylene terephthalate (PET)...","Manufacturer, Supplier, Exporter & Importer Of PET Preforms, PET Bottles, PET Jars, Caps & Closures, Industrial Plastic."
Shivam Electronics,tel:+91 11 22454242,New delhi - India,Electrical equipment. Nuclear equipment,Electric regulators,"Regulators, power, solid state...","Importer, Distributor & Stockist Of Industrial Automation Products. It Includes PID Controller, Non Contact Temp. Indicator / Sensor, Proximity Sensor, Photo Sensor, Solid State Relay, Power Regulator/Thyristor, Switch Mode Power Supply (SMPS), Light Curtain / Safety Guard, Timer, Temperature Tr..."
Shiva Enterprises,,Delhi - India,Electronic converters,Electronic equipment. Telecommunications equipment,"Encoders, linear...","Dealer, Supplier, Importer & Exporter Of Kuebler Encoder."
Vikas Manufacturing Company,,Delhi - India,"Health, medical and pharmaceutical",Surgical equipment and instruments,"Hardware, ironmongery, cutlery and tools...","Manufacturer, Supplier, Exporter & Importer Of Aluminum Utensils, Kitchenware And Surgical Items."
TTIA Cad-Cam Infotex,tel:+91 11 47580731,Delhi - India,Machinery and equipment for metalworking,Metal milling machines,"Milling machines, computer numerically controlled (CNC), metalworking...","Distributor, Supplier, Service Provider & Importer Of CAMworks, CNC Routers, 3D Sanners, CNC Milling For Shoe Moulds, Tormach CNC, Designing, Jewellery, Rapid Prototyping, Training CAD CAM & White Light Scanning."
Dyer International Logistics Private Limited,,New delhi - India,Transportation and logistics services,"Shipping services, passenger and freight","Cargo services, ocean...","Service Provider, Importer & Exporter Of Freight Forwarding, Express, Logistics Distribution, Supply Chain Solution, Reverse Logistics, Packaging Solution & E- Logistics, Air Freight, Sea Freight, Project Cargo, Customs Clearance, Ware Housing, Transportation & Door-Door Delivery Service..."
Presco Office Furniture,,New delhi - India,Furniture and linen,Office furniture,"Furniture, wooden, for offices...","Manufacturer, Supplier, Importer & Exporter Of Modular Office Furniture, Office Chairs, Racks, Industrial Bins, School Furniture, Display Boards, Pin-Up Boards, Utility Furniture & Safe / Lockers."
Panchsheel Fasteners Private Limited,tel:+91 11 23210486,Delhi - India,"Hardware, ironmongery, cutlery and tools","Nuts, metal, non-turned","Nuts, stainless steel and alloys, non-turned...","Manufacturer, Distributor, Exporter And Importers Of Non Ferrous Fastener, High Tensile Hexagonal Bolts, Industrial Fastners, Alloy Steel Fasteners, Washers, Stud, Stud With Nut, Stud Welding Machines, Stainless Steel Bolts, Spring Nut, Self Drilling Screws, Panchsheel Fastners, Shear Connectors, Ne..."
MRK Natural Oils,,New delhi - India,Organic products,"Essential and natural oils, organic","Essential oils, aromatherapy, organic...","Manufacturer, Suppliers, Exporters & Importers of Pure Essential Oils, Aromatic Oil Products like Carrier & Base Oils, Spice Oils, Traditional Indian Attars, Natural Cosmetic Butters, Exotic Dilutions, Floral Absolutes, Floral Waters, Hydrosols...."
Amit International,tel:+91 11 22549320,New delhi - India,Printing equipment. Office and shop equipment,Printing presses,Index cutting and printing machines...,Distributors and Importers of Second Hand Multicolour Offset Printing Machines and Programmer Cutting Machines.
Cosco India Limited,tel:+91 11 23843000,Delhi - India,Sports and leisure equipment,Team sports equipment,Racket sports equipment...,"Manufacturers, Importers & Exporters of Soccer Balls, Volley Balls, Rugby Balls, Hand Balls, Medicine Balls, Tennis Balls, Water Polo Balls, Cricket Bats, Other Sports Accessories."
Bhoomika Air Condition & Refrigeration,,New delhi - India,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Cooling systems,"Refrigeration plant and equipment, industrial...","Manufacturer, Supplier, Importer, Exporter & Service Provider Of Refrigeration System, Refrigeration Cooling System, Air Conditioner, AMC Contract & AC Installation, Potato Storage Conditions, Daikin Installation And Operation Manual, Danfoss Inverter Scroll Compressors Vzh - Single And Mani..."
Neel Medico Solution,tel:+91 11 65633353,New delhi - India,"Health, medical and pharmaceutical",Medical equipment and instruments,Anaesthetic and resuscitation equipment...,"Traders, Exporters & Importers of Deep Freezer, Blood Bank Refrigerator, Carbon Dioxide Incubator."
Coral Drugs Private Limited,tel:+91 11 23356298,New delhi - India,"Health, medical and pharmaceutical",Pharmaceutical preparations NES,,"Manufacturer and Importers of Pharmaceuticals, Formulations & Intermediates."
Sharma Print Tech,tel:+91 11 27532413,New delhi - India,Printing and publishing,Print finishing,"Perforating, numbering and die-cutting...","Suppliers & Importers of wide variety of Offset Printing Products Industrial Tools such as Die Cutting and Creasing Rule, Label Cutting Rule, Perforating Rule, Industrial Punches, Rubber Blankets, Industrial Dies, Car Mobile Charger."
Afri Ventures India Limited,tel:+91 11 29222217,New delhi - India,"Tyres and inner tubes, by vehicle type",Rubber products,Chemical products...,"Supplier & Importer Of Fertilizers, Agro Inputs, Tractor And Farm Implements, Food And Beverages, Automobiles, Tyres And Auto Accessories, Consumer Durables & Eco Water Management. Associated Companies: Afri Ventures Group Kewalram Chanrai Group..."
Avi-Oil India Private Limited,tel:+91 11 23730607,New delhi - India,Fuels and petroleum based products,Chemical base materials,"Fuel oils, petroleum based...","Manufacturer, Supplier, Exporter And Importer Of Aviation & Military Lubricants, Lubricants Industrial Applications & Ester Basestock. It Includes Aeroengine Oils, Hydraulic Fluids, Greases, Protectives, Lubricants of Western Origin, Lubricants of Russian Origin, 2 Stroke Oils, Compressor Oi..."
Ganpati Wood Products,,Delhi - India,Sawn wood,"Timber, wooden products, machinery and equipment for the woodworking industry","Veneer sheets, wood",Manufacturer and Importers of Natural Exotic Veneers.
Karamels,tel:+91 11 41010020,New delhi - India,Cheese,Food,"Cheese, country specific...","Traders and Importers of Cheese, Wines and Processed Foods."
Shree Gopal Impex Private Limited,tel:+91 11 22548191,New delhi - India,,,,Importers and Dealers of Almonds and Dry Fruits.
Red Wood Creations LLP,,New delhi - India,"Flooring, wooden. Parquet","Timber, wooden products, machinery and equipment for the woodworking industry","Flooring, wooden, laminated...","Suppliers of a variety of Carpet Tiles, Wall to Wall Carpets, Window Blinds, Artificial Grass, Wall Papers, Mats for Entrances, Windows Blinds, Deck Flooring."
Asian Radios,tel:+91 11 23866374,New delhi - India,Radio transmitters,Electronic equipment. Telecommunications equipment,"Radio transmitters, AM...",Traders and Importers Of Electronic Goods Mainly Radios.
Palm Medical,tel:+91 11 25920136,New delhi - India,Security equipment,Smoke and fire detectors and alarms,Safety signs and warning lights...,Importers & Distributors of Fire Alarm Systems.
Aparna Collection,tel:+91 11 23264144,New delhi - India,Textiles,Trimming materials,"Trimmings, textile, chenille...","Manufactures and Importers of Garment Accessories, Ribbon, Glass Beads, Buttons, Chitton, Patch, Sequence, Trimming."
Deioners Speciality Chemicals Private Limited,tel:+91 11 47003700,Delhi - India,Chemicals for water treatment,Chemical products,Coagulants and flocculants for water treatment...,"Manufacturers, Importers and Exporters of Water Treatment Chemicals, Descalants, Corrosion Inhibitors, Testing Equipments, Dosing & Monitoring Equipments, Cleaning Chemicals, Concrete Admixtures and Autocare Products."
Anmol Multi Exports,tel:+91 11 27357073,New delhi - India,Inorganic acids and anhydrides,Chemical base materials,"Arsenic acid/orthoarsenic acid, arsenic pentoxide/arsenic anhydride...","Manufactures and Exporters of Agro Chemicals,Organic Chemicals and Inorganic Chemical etc. and Also Importers of AKD Wax, Acrylamide Alcohol, Polyvinyl Alcohol and Di-Octyl-Phthalate."
Rama Vision Limited,tel:+91 11 45349999,New delhi - India,Furniture and linen,"Furniture, children's",Chair swings for babies...,"Manufacturer, Supplier, Distributor & Importer Of Baby And Mother Care Products. It Includes Mother Care Products, Nurshing Bottle & Nipples, Baby Skin Care Products, Baby Healthcare Products, Baby Wipes And Tissues, Cleaning And Sterilizing, Diaper And Laundry Care Products, Weaning, Pacifi..."
Anmol Polymers Private Limited,tel:+91 11 47335500,New delhi - India,"Pulp, groundwood/mechanical and chemical",Paper and board,Chemical products...,"Supplier And Manufacturer Of Paper Chemicals i.e. wet Strength Resin, Cooking Additives, Sizing Chemicals, Dry Strength Resin, Stickies, Wet End Chemicals."
Join Pack Machines Private Limited,tel:+91 11 23847892,Delhi - India,"Packaging machinery for solid, granular and fragmented materials NES",Sealing or closing machines for bags or sacks containing solid or granular materials,Packaging machines for pamphlets and books...,"Manufacturer, Suppliers & Importers of Packaging Machines which includes Strapping Machines, Carton Taping Machines, Conveyors, Pallet Stretch Wrapping, Packaging Machinery, Wrapping Machines, Shrink Machines and Stretch Wrapping Machines, Consumable Material, Filling Machinery (for Food Industr..."
Jindal Offset India Private Limited,tel:+91 11 45643634,New delhi - India,Paper and board making plant and equipment,"Slitting machinery and equipment, papermaking industry","Cutting machines, paper, industrial...","Suppliers, Traders, Exporters & Importers of Used Offset Printing, Paper Cutting and Paper Folding Machines."
Grafik Machinery Exchange India,tel:+91 11 26918696,New delhi - India,Printing equipment. Office and shop equipment,Screen printing equipment,"Printing machines, screen process...","Manufacturer, Suppliers & Exporters of Fully Automatic Coating Devices, U.V. Curing Systems, Carton Pasting Machine, Carton Folding and Gluing Machines, Cache Cover Folder Gluer, Screen Printing Machines. Importers of Distinguished quality Cutting Sticks for all types of Paper Cutting Machines,..."
Graphics Impex Services,tel:+91 120 4211370,Delhi - India,Second-hand equipment,"General traders, department and retail stores","Printing and bookbinding machinery, second-hand","Suppliers & Importers of all types of used Binding Machines & Allied Graphics Equipments, Guillotines, Folding Machines, Sewing Machines, Section Gathering, Saddle Stitchers, Three Knife Trimmer, Book Block Production, Printing Machines."
DR Optical Disc India Private Limited,,New delhi - India,Printing equipment. Office and shop equipment,Pad printing machinery and equipment,Screen printing equipment,"Manufacturer, Suppliers, Traders & Importers of World Class Screen Printing, Pad Printing, Screen Making, UV Conveyors and Other Peripheral Equipments."
Batra Graphic Machinery,tel:+91 11 45106400,New delhi - India,Second-hand equipment,"General traders, department and retail stores","Printing presses, letterpress, offset rotary, second-hand",Dealers & Importers of Used Offset Printing Machines.
Bharat Printing Agency,tel:+91 11 22131169,Delhi - India,Printing equipment. Office and shop equipment,Offset printing presses,"Printing presses, letterset/dry offset...","Traders & Importers of Used Sheet Fed Offset Presses and Book Binding Machines, Offset Printing Inks, Plates, Rubber Blanket, Chemicals, Spongs & All Other Allied Materials."
Goldline Ventures Private Limited,tel:+91 11 23636277,Delhi - India,Rubber products,Synthetic rubbers,Butadiene-acrylonitrile rubbers/nitrile rubbers...,"Distributers, Stockists & Importers of Industrial Rubber Products, EPDM Rubber, Neoprene Rubber, Reclaim Rubber and various Rubber Chemicals. We majorly deal in bulk quantities of Reclaim Rubber, Carbon Black, Zinc Oxide, Stearic Acid and Synthetic Rubbers...."
Continental Device India Limited,tel:+91 11 25796150,New delhi - India,Semiconductor diodes,Electronic equipment. Telecommunications equipment,"Diodes, silicon...","Manufacturers, Exporters and Importers of Discrete Silicon Semiconductor Devices like Transistors, Diodes, Diffused Silicon Wafers / Chips."
Computer Zone,tel:+91 11 26227036,New delhi - India,Printing and publishing,"Book, compact disc (CD) and digital versatile disc (DVD) clubs",Plastic moulding services...,"Publisher & Developer of Software, Books, Astrology Software & C D Rom Software."
Super Journals Private Limited,tel:+91 11 41436714,New delhi - India,Printing and publishing,Publishing: Newspapers and magazines,Publishers of fashion magazines,"Importer & Distributors of Fashion Journals & Magazines Related To Garments for Ladies, Men and Kids, Textiles, Home Furnishings, Sportswear, Jewellery, Footwear, Bridal Wear, Leather Wear, Handicrafts, Embroideries."
Rational Business Corporation Private Limited,tel:+91 11 42563500,New delhi - India,Paper and board,Base and backing paper,Base paper for tracing paper...,"Manufacturers, Exporters & Importers of Paper Conversion and Stationery and other related Products, ID Photo Printer and Consumable, Desktop Inkjet Media, Tracing Paper Sheets and Rolls, Writing Pads, Sticky Pads, Correction Fluid, Hardware and Peripherals, CD Labels and Inserts, Dye Sublimation..."
